RepID,EffArrival,AvgQ,Utilization,AvgDelay,AvgWait,NumServed,SimTime
1,0.9055,8.2034,0.9004,9.0584,8.0584,20000,23236.0901
2,0.8887,6.8438,0.8801,7.7085,6.7085,20000,23650.3385
3,0.8951,9.0325,0.8994,10.0890,9.0890,20000,23467.5948
4,0.8912,8.5998,0.9011,9.6652,8.6652,20000,23555.2706
5,0.8982,10.1020,0.9087,11.2496,10.2496,20000,23357.4201
6,0.8950,9.5060,0.8999,10.6181,9.6181,20000,23459.8706
7,0.9020,12.0723,0.9114,13.3710,12.3710,20000,23298.1557
8,0.9026,8.6976,0.8967,9.6354,8.6354,20000,23279.6302
9,0.8898,7.2739,0.8794,8.1733,7.1733,20000,23595.0228
10,0.9058,9.7675,0.9055,10.7838,9.7838,20000,23170.3059
