Metric,Mean,StdDev,CI_Lower,CI_Upper,CI_Width
AvgQ,1.0242,0.0551,0.9854,1.0630,0.0777
Utilization,0.5061,0.0130,0.4970,0.5153,0.0183
AvgDelay,2.0384,0.0823,1.9804,2.0964,0.1160
AvgWait,1.0384,0.0823,0.9804,1.0964,0.1160
