RepID,EffArrival,AvgQ,Utilization,AvgDelay,AvgWait,NumServed,SimTime
1,0.5161,1.0371,0.5182,2.0093,1.0093,4647,10002.8598
2,0.4912,0.9527,0.4895,1.9399,0.9399,4419,10006.4308
3,0.5091,1.0826,0.5224,2.1264,1.1264,4586,10000.7987
4,0.5001,0.9983,0.5097,1.9948,0.9948,4506,10000.7239
5,0.5022,1.0700,0.5070,2.1312,1.1312,4519,10003.1423
6,0.5053,1.0550,0.5089,2.0879,1.0879,4547,10000.3418
7,0.5114,1.0870,0.5221,2.1259,1.1259,4602,10000.6695
8,0.5036,1.0465,0.5034,2.0779,1.0779,4533,10001.2577
9,0.4888,0.9308,0.4859,1.9052,0.9052,4396,10000.4859
10,0.4947,0.9823,0.4942,1.9854,0.9854,4452,10000.0214
